dateTime,Water_Level_NoIce_ft
11/2/2022 11:00,0.9
11/2/2022 12:00,0.893
11/2/2022 13:00,0.938
11/2/2022 14:00,0.894
11/2/2022 15:00,0.864
11/2/2022 16:00,0.85
11/2/2022 17:00,0.856
11/2/2022 18:00,0.855
11/2/2022 19:00,0.852
11/2/2022 20:00,0.861
11/2/2022 21:00,0.846
11/2/2022 22:00,0.843
11/2/2022 23:00,0.842
11/3/2022 0:00,0.859
11/3/2022 1:00,0.863
11/3/2022 2:00,0.872
11/3/2022 3:00,0.88
11/3/2022 4:00,0.89
11/3/2022 5:00,0.894
11/3/2022 6:00,0.899
11/3/2022 7:00,0.901
11/3/2022 8:00,0.89
11/3/2022 9:00,0.886
11/3/2022 10:00,0.884
11/3/2022 11:00,0.888
11/3/2022 12:00,0.875
11/3/2022 13:00,0.869
11/3/2022 14:00,0.868
11/3/2022 15:00,0.853
11/3/2022 16:00,0.862
11/3/2022 17:00,0.852
11/3/2022 18:00,0.86
11/3/2022 19:00,0.856
11/3/2022 20:00,0.865
11/3/2022 21:00,0.87
11/3/2022 22:00,0.857
11/3/2022 23:00,0.86
11/4/2022 0:00,0.869
11/4/2022 1:00,0.881
11/4/2022 2:00,0.898
11/4/2022 3:00,0.92
11/4/2022 4:00,0.923
11/4/2022 5:00,0.918
11/4/2022 6:00,0.913
11/4/2022 7:00,0.912
11/4/2022 8:00,0.895
11/4/2022 9:00,0.884
11/4/2022 10:00,0.883
11/4/2022 11:00,0.865
11/4/2022 12:00,0.853
11/4/2022 13:00,0.86
11/4/2022 14:00,0.859
11/4/2022 15:00,0.853
11/4/2022 16:00,0.843
11/4/2022 17:00,0.843
11/4/2022 18:00,0.83
11/4/2022 19:00,0.826
11/4/2022 20:00,0.833
11/4/2022 21:00,0.83
11/4/2022 22:00,0.826
11/4/2022 23:00,0.817
11/5/2022 0:00,0.815
11/5/2022 1:00,0.819
11/5/2022 2:00,0.823
11/5/2022 3:00,0.824
11/5/2022 4:00,0.828
11/5/2022 5:00,0.82
11/5/2022 6:00,0.81
11/5/2022 7:00,0.815
11/5/2022 8:00,0.818
11/5/2022 9:00,0.824
11/5/2022 10:00,0.819
11/5/2022 11:00,0.813
11/5/2022 12:00,0.809
11/5/2022 13:00,0.815
11/5/2022 14:00,0.82
11/5/2022 15:00,0.819
11/5/2022 16:00,0.833
11/5/2022 17:00,0.824
11/5/2022 18:00,0.821
11/5/2022 19:00,0.831
11/5/2022 20:00,0.831
11/5/2022 21:00,0.834
11/5/2022 22:00,0.829
11/5/2022 23:00,0.829
11/6/2022 0:00,0.828
11/6/2022 1:00,0.827
11/6/2022 2:00,0.827
11/6/2022 3:00,0.834
11/6/2022 4:00,0.825
11/6/2022 5:00,0.827
11/6/2022 6:00,0.831
11/6/2022 7:00,0.832
11/6/2022 8:00,0.836
