Datetime,Water_Level_NoIce_ft
4/2/2024 14:00,0.942
4/2/2024 15:00,0.944
4/2/2024 16:00,0.942
4/2/2024 17:00,0.956
4/2/2024 18:00,0.97
4/2/2024 19:00,0.996
4/2/2024 20:00,1.013
4/2/2024 21:00,1.018
4/2/2024 22:00,1.016
4/2/2024 23:00,0.998
4/3/2024 0:00,1.003
4/3/2024 1:00,0.995
4/3/2024 2:00,0.996
4/3/2024 3:00,0.993
4/3/2024 4:00,0.993
4/3/2024 5:00,0.993
4/3/2024 6:00,0.988
4/3/2024 7:00,0.978
4/3/2024 8:00,0.93
4/3/2024 9:00,0.923
4/3/2024 10:00,0.899
4/3/2024 11:00,0.908
4/3/2024 12:00,0.933
4/3/2024 13:00,0.976
4/3/2024 14:00,1.011
4/3/2024 15:00,1.006
4/3/2024 16:00,1.02
4/3/2024 17:00,1.03
4/3/2024 18:00,1.059
4/3/2024 19:00,1.103
4/3/2024 20:00,1.121
4/3/2024 21:00,1.125
4/3/2024 22:00,1.144
4/3/2024 23:00,1.147
4/4/2024 0:00,1.157
4/4/2024 1:00,1.148
4/4/2024 2:00,1.152
4/4/2024 3:00,1.152
4/4/2024 4:00,1.107
4/4/2024 5:00,1.092
4/4/2024 6:00,1.067
4/4/2024 7:00,1.054
4/4/2024 8:00,1.019
4/4/2024 9:00,1.014
4/4/2024 10:00,1.036
4/4/2024 11:00,1.027
4/4/2024 12:00,1.045
4/4/2024 13:00,1.039
4/4/2024 14:00,1.049
4/4/2024 15:00,1.038
4/4/2024 16:00,1.068
4/4/2024 17:00,1.083
4/4/2024 18:00,1.083
4/4/2024 19:00,1.103
4/4/2024 20:00,1.091
4/4/2024 21:00,1.16
4/4/2024 22:00,1.167
4/4/2024 23:00,1.171
4/5/2024 0:00,1.209
4/5/2024 1:00,1.204
4/5/2024 2:00,1.205
4/5/2024 3:00,1.205
4/5/2024 4:00,1.196
4/5/2024 5:00,1.189
4/5/2024 6:00,1.196
4/5/2024 7:00,1.179
4/5/2024 8:00,1.182
4/5/2024 9:00,1.179
4/5/2024 10:00,1.183
4/5/2024 11:00,1.179
4/5/2024 12:00,1.187
4/5/2024 13:00,1.18
4/5/2024 14:00,1.183
4/5/2024 15:00,1.201
4/5/2024 16:00,1.233
4/5/2024 17:00,1.308
4/5/2024 18:00,1.328
4/5/2024 19:00,1.374
4/5/2024 20:00,1.404
4/5/2024 21:00,1.491
4/5/2024 22:00,1.516
4/5/2024 23:00,1.53
4/6/2024 0:00,1.529
4/6/2024 1:00,1.518
4/6/2024 2:00,1.529
4/6/2024 3:00,1.505
4/6/2024 4:00,1.505
4/6/2024 5:00,1.438
4/6/2024 6:00,1.388
4/6/2024 7:00,1.374
4/6/2024 8:00,1.349
4/6/2024 9:00,1.316
4/6/2024 10:00,1.321
4/6/2024 11:00,1.307
4/6/2024 12:00,1.303
4/6/2024 13:00,1.309
4/6/2024 14:00,1.239
4/6/2024 15:00,1.206
4/6/2024 16:00,1.158
4/6/2024 17:00,1.172
4/6/2024 18:00,1.165
4/6/2024 19:00,1.178
4/6/2024 20:00,1.25
4/6/2024 21:00,1.19
4/6/2024 22:00,1.2
4/6/2024 23:00,1.2
