dateTime,Water_Level_NoIce_ft
4/2/2024 14:00,1.106
4/2/2024 15:00,1.107
4/2/2024 16:00,1.106
4/2/2024 17:00,1.12
4/2/2024 18:00,1.133
4/2/2024 19:00,1.159
4/2/2024 20:00,1.176
4/2/2024 21:00,1.181
4/2/2024 22:00,1.18
4/2/2024 23:00,1.162
4/3/2024 0:00,1.167
4/3/2024 1:00,1.158
4/3/2024 2:00,1.159
4/3/2024 3:00,1.156
4/3/2024 4:00,1.156
4/3/2024 5:00,1.157
4/3/2024 6:00,1.151
4/3/2024 7:00,1.142
4/3/2024 8:00,1.093
4/3/2024 9:00,1.086
4/3/2024 10:00,1.062
4/3/2024 11:00,1.072
4/3/2024 12:00,1.097
4/3/2024 13:00,1.14
4/3/2024 14:00,1.175
4/3/2024 15:00,1.17
4/3/2024 16:00,1.184
4/3/2024 17:00,1.194
4/3/2024 18:00,1.223
4/3/2024 19:00,1.267
4/3/2024 20:00,1.285
4/3/2024 21:00,1.289
4/3/2024 22:00,1.308
4/3/2024 23:00,1.311
4/4/2024 0:00,1.32
4/4/2024 1:00,1.312
4/4/2024 2:00,1.316
4/4/2024 3:00,1.316
4/4/2024 4:00,1.27
4/4/2024 5:00,1.255
4/4/2024 6:00,1.23
4/4/2024 7:00,1.218
4/4/2024 8:00,1.182
4/4/2024 9:00,1.178
4/4/2024 10:00,1.2
4/4/2024 11:00,1.191
4/4/2024 12:00,1.209
4/4/2024 13:00,1.203
4/4/2024 14:00,1.213
4/4/2024 15:00,1.202
4/4/2024 16:00,1.231
4/4/2024 17:00,1.246
4/4/2024 18:00,1.247
4/4/2024 19:00,1.266
4/4/2024 20:00,1.254
4/4/2024 21:00,1.323
4/4/2024 22:00,1.331
4/4/2024 23:00,1.334
4/5/2024 0:00,1.373
4/5/2024 1:00,1.368
4/5/2024 2:00,1.369
4/5/2024 3:00,1.369
4/5/2024 4:00,1.359
4/5/2024 5:00,1.353
4/5/2024 6:00,1.359
4/5/2024 7:00,1.342
4/5/2024 8:00,1.345
4/5/2024 9:00,1.343
4/5/2024 10:00,1.346
4/5/2024 11:00,1.342
4/5/2024 12:00,1.35
4/5/2024 13:00,1.343
4/5/2024 14:00,1.347
4/5/2024 15:00,1.365
4/5/2024 16:00,1.397
4/5/2024 17:00,1.472
4/5/2024 18:00,1.491
4/5/2024 19:00,1.538
4/5/2024 20:00,1.568
4/5/2024 21:00,1.655
4/5/2024 22:00,1.679
4/5/2024 23:00,1.693
4/6/2024 0:00,1.693
4/6/2024 1:00,1.681
4/6/2024 2:00,1.692
4/6/2024 3:00,1.669
4/6/2024 4:00,1.668
4/6/2024 5:00,1.602
4/6/2024 6:00,1.552
4/6/2024 7:00,1.537
4/6/2024 8:00,1.512
4/6/2024 9:00,1.48
4/6/2024 10:00,1.485
4/6/2024 11:00,1.471
4/6/2024 12:00,1.466
4/6/2024 13:00,1.472
4/6/2024 14:00,1.403
