Num,RS_Num,River,RecaptureSite,Date,Time,UTM_X,UTM_Y,Species,Length,Weight,TagType,TagID,QAQC,TagSize,Ant,Event,FinClip,Mortality,Comments
1,7,Colorado River,Hitching Post,05/04/21,9:45,414476,4440260,RBT,363,467,HA,230000228711,fail,32,Handheld,Recapture,adp,,weight data was missing
2,9,Colorado River,Chimney Rock Below Island,05/04/21,11:15,413330,4440059,RBT,266,174,HA,230000228783,pass,32,Handheld,Recapture,adp,,
3,11,Colorado River,Pool Above Red Barn Antenna,05/04/21,12:00,412550,4439453,LOC,359,451,HA,230000228803,pass,32,Handheld,Recapture,adp,,
4,11,Colorado River,Pool Above Red Barn Antenna,05/04/21,12:00,412550,4439453,LOC,246,130,HA,230000228814,pass,32,Handheld,Recapture,adp,,
5,11,Colorado River,Pool Above Red Barn Antenna,05/04/21,12:00,412550,4439453,LOC,379,508,HA,230000228864,fail,32,Handheld,Recapture,adp,,weight data was missing
6,11,Colorado River,Pool Above Red Barn Antenna,05/04/21,12:00,412550,4439453,LOC,402,620,HA,230000228898,pass,32,Handheld,Recapture,adp,,two tags in fish
7,14,Colorado River,Below Red Barn Diversion #2,05/04/21,13:00,411887,4438898,LOC,311,294,HA,230000228946,pass,32,Handheld,Recapture,adp,,
8,15,Colorado River,Kinney Creek,05/04/21,13:45,411432,4438897,LOC,358,412,HA,230000228835,fail,32,Handheld,Recapture,adp,,weight data was missing
9,16,Colorado River,Dark Timber Above Railroad,05/04/21,14:30,410945,4438654,LOC,359,465,HA,230000229047,pass,32,Handheld,Recapture,adp,,
10,16,Colorado River,Dark Timber Above Railroad,05/04/21,14:30,410945,4438654,LOC,230,125,HA,230000229054,fail,32,Handheld,Recapture,adp,,weight data was missing
11,16,Colorado River,Dark Timber Above Railroad,05/04/21,14:30,410945,4438654,LOC,360,423,HA,230000229076,pass,32,Handheld,Recapture,adp,,
12,7,Colorado River,Hitching Post,05/06/21,9:45,414476,4440260,RBT,404,,HA,230000228632,pass,32,Handheld,Recapture,adp,,weight was not recorded
13,7,Colorado River,Hitching Post,05/06/21,9:45,414476,4440260,LOC,293,,HA,230000228704,,32,Handheld,Recapture,adp,,
14,7,Colorado River,Hitching Post,05/06/21,9:45,414476,4440260,RBT,253,,HA,230000228714,,32,Handheld,Recapture,adp,,
15,7,Colorado River,Hitching Post,05/06/21,9:45,414476,4440260,LOC,361,,HA,230000228720,pass,32,Handheld,Recapture,adp,,
16,7,Colorado River,Hitching Post,05/06/21,9:45,414476,4440260,LOC,384,523,HA,230000228734,fail,32,Handheld,Recapture,adp,,weight data was missing
17,7,Colorado River,Hitching Post,05/06/21,9:45,414476,4440260,LOC,339,,HA,230000228735,pass,32,Handheld,Recapture,adp,,weight was not recorded
18,7,Colorado River,Hitching Post,05/04/21,9:45,414476,4440260,RBT,339,350,HA,230000228765,fail,32,Handheld,Recapture,adp,,corrected recapture date and added weight
19,7,Colorado River,Hitching Post,05/06/21,9:45,414476,4440260,LOC,337,,HA,230000272087,,32,Handheld,Recapture,adp,,
20,8,Colorado River,Chimney Rock Above Island,05/06/21,10:30,413880,4440093,LOC,205,,HA,230000228528,,32,Handheld,Recapture,adp,,
