Site,CalibrationDate,DataCalStart,DataCalEnd,notes,modelSlope,ModelIntercept,modelType
Red Barn,unclear,8/7/2020 12:00,4/6/2021 10:00,,0.8434512,-1.934592,baseModel (no outliers removed)
Red Barn,unclear,4/6/2021 23:00,11/9/2021 9:00,,0.8373336,-1.885118,baseModel (no outliers removed)
Red Barn,unclear,11/9/2021 10:00,4/21/2022 9:00,not sure if this is all one calibration date or not. One big outlier here that I havene't corrected yet 4/13/2026,0.8844348,-2.060896,outliersRemovedModel
Red Barn,unclear,4/21/2022 11:00,11/2/2022 10:00,deifinley a few outliers to look at here; slope and intercept about the same (<0.01) on both models,0.9200771,-2.499872,baseModel (no outliers removed)
Red Barn,11/2/2022,11/2/2022 11:00,11/15/2022 23:00,,0.7490368,-1.875103,outliersRemovedModel
Red Barn,5/18/2023,4/11/2023 0:00,5/31/2023 23:00,,,,
Red Barn,6/6/2023,6/1/2023 0:00,7/14/2023 23:00,,,,
Red Barn,unclear,7/15/2023 0:00,10/18/2023 9:00,No data for this period,,,
Red Barn,10/18/2023,10/18/2023 10:00,11/25/2023 23:00,ice after this period,,,
Red Barn,4/2/2024,3/17/2024 0:00,4/2/2024 13:00,ice before this period,,,
Red Barn,5/14/2024,4/2/2024 14:00,8/6/2024 10:00,,,,
Red Barn,8/6/2024,8/6/2024 11:00,11/8/2024 11:00,,,,
Red Barn,11/8/2024,11/8/2024 11:00,4/1/2025 9:00,,,,
Red Barn,4/1/2025,4/1/2025 12:00,11/3/2025 11:00,,,,
Hitching Post,4/1/2025,3/31/2025 0:00,4/14/2025 14:00,Pretty significant outliers heere to look at,,,
Hitching Post,5/5/2025,4/14/2025 15:00,8/19/2025 12:00,outliers not too bad,,,
Hitching Post,9/3/2025,8/19/2025 13:00,11/3/2025 14:00,"outliers not bad, just a couple",,,
Hitching Post,11/8/2024,11/8/2024 12:00,3/30/2025 23:00,,,,
Hitching Post,5/14/2024,4/2/2024 17:00,11/8/2024 11:00,,,,
Hitching Post,11/28/2023,11/28/2023 12:00,4/2/2024 16:00,,,,
Hitching Post,10/18/2023,10/18/2023 12:00,10/31/2023 12:00,,,,
Hitching Post,10/31/2023,10/31/2023 13:00,11/28/2023 11:00,,,,
Hitching Post,10/3/2023,10/3/2023 17:00,10/18/2023 11:00,,,,
Hitching Post,9/19/2023,9/19/2023 9:00,10/3/2023 16:00,,,,
Hitching Post,8/29/2023,8/29/2023 14:00,9/19/2023 8:00,,,,
Hitching Post,7/27/2023,7/27/2023 23:00,8/29/2023 13:00,,,,
Hitching Post,11/23/2022,11/2/2022 11:00,4/4/2023 13:00,dates approxcimated from shading in archive file,,,
Hitching Post,4/4/2023,4/4/2023 14:00,5/18/2023 11:00,,,,
Hitching Post,5/4/2023,5/18/2023 12:00,6/6/2023 8:00,,,,
Hitching Post,6/23/2023,6/6/2023 9:00,7/27/2023 10:00,,,,
Hitching Post,unclear,4/21/2022 12:00,11/2/2022 10:00,pretty big range but data kinda looks ok,,,
Hitching Post,unclear,11/9/2021 13:00,4/21/2022 10:00,,,,
Hitching Post,unclear,4/6/2021 13:00,11/9/2021 13:00,"hour gap between last end time/this start time, probably from delayed start",,,
Hitching Post,unclear,8/7/2020 11:00,4/6/2021 12:00,,,,
Confluence,3/31/2025,5/31/2025 13:00,6/6/2025 17:00,guessed start date based on pt gage readings. Data is pretty rough in this range,,,
Confluence,,3/31/2025 12:00,5/31/2025 12:00,,,,
Confluence,,6/6/2025 18:00,11/4/2025 11:00,,,,
Confluence,,1/1/2025 0:00,3/31/2025 23:00,,,,
Confluence,11/7/2024,11/7/2024 14:00,12/31/2024 23:00,,,,
Confluence,,10/2/2024 16:00,11/7/2024 13:00,,,,
Confluence,,4/2/2024 18:00,10/2/2024 15:00,,,,
Confluence,,10/18/2023 15:00,11/28/2023 12:00,,,,
Confluence,,11/28/2023 13:00,4/2/2024 17:00,,,,
Confluence,,10/3/2023 17:00,10/18/2023 13:00,looks like an hour missing between calibration dates; next starts at 15:00,,,
Confluence,,8/30/2023 16:00,10/3/2023 16:00,,,,
Confluence,,8/26/2023 0:00,8/30/2023 15:00,,,,
Confluence,,7/27/2023 12:00,8/25/2023 23:00,,,,
Confluence,4/4/2023,11/2/2022 13:00,4/4/2023 13:00,,,,
Confluence,6/6/2023,4/4/2023 14:00,4/30/2023 23:00,,,,
Confluence,5/4/2023,5/1/2023 0:00,6/6/2023 16:00,,,,
Confluence,6/23/2023,6/6/2023 17:00,7/27/2023 8:00,4 hours missing between dates,,,
Confluence,,4/21/2022 13:00,11/2/2022 12:00,long time but checked with R and all the data is used ,,,
Confluence,,11/9/2021 15:00,11/18/2021 23:00,calibration chunk inferred from looking at data in R. Also what is in the archive is not used in the final df for this date range,,,
Confluence,,11/19/2021 0:00,4/21/2022 11:00,calibration chunk inferred from looking at data in R. Also what is in the archive is not used in the final df for this date range,,,
Confluence,,4/6/2021 15:00,11/9/2021 14:00,All data used from this large chunk; If I were to choose chunks to break into I'd separate the first 2 weeks in april. CF flow the same ish in the fall as it was during this period but gage height was hgiher in April. It's also possible the flow is incorrect for spring 2021,,,
Confluence,,8/6/2020 16:00,4/6/2021 13:00,,,,
