TAG,Reason,Opinion,Proposed predation date,Last Date Detected,maybe check the .txt files to double check
230000272248,"has gone from HP to CF multiple times, once through the channel after it was built. Appears 12 times for fast movements., including one time just flying from CF to CU. Missed CD and CS on that journey, would have been Nov 8. sequencing all makes sense apart from missing that CD/CS. Also takes place across multiple years so probably not a predated tag ",No,,,
230000143660,"tons of activity at RB, CF and CRCC. Over 20000 individual detectoins. Sequences all make sense though including a recapture ",No,,,
230000272969,"released at sheriff ranch middle field in may 2021, CF detections 2 weeks later, then nothing",Yes,5/18/2021,5/18/2021,
230000272900,"Sheriff Ranch Middle Field Release in Mya 2021, then CF detections; but not until 1 year later. A few cf detections 9 days apart then no more",Yes,4/15/2022,4/24/2022,
230000224056,activity above and below the dam. Fast movements from CF to Rb1 (took 12 days). Sequences all make sense though and it all took place across 2 years. ,No,,,
230000228639,"HP release, some hp detections, then CF detections a day later (starting with CF6) then back to HP the next day. Missed an antenna at h on the way dow. Only spans 3-4 days",Yes,4/4/2022,4/8/2022,
230000143277,"Lots of bounceback between HP and RB, then eventually hit CF the same day as HP in april 2024. Wonky history lasts about 2.5 weeks in April then no detections after that. ",Yes,4/7/2024,4/25/2022,
230000143338,"very active June 2022. Some missed detections at HP4 and CF5 when there should have been, along with singlular detections at antennas (not lingering on any antenna). History lasts 2 weeks",Yes,6/7/2022,6/20/2022,
230000143597,"Swam from RB to Cf through the channel in 1 day (sep 26 2024)??? But the sequence makes sense?? No missed detections, used the channel…it's a brown travelling upstream during spawning season so might just be the most ambitious fish I've ever seen. Tralled back downstream from CF to HP in sequence starting sep 29 to 10/3. ",No,,,
230000228861,"swam above the dam throuhg the channel, went from hp4 to CU in 1 day, missung cs and CD along the wa. Made it to CF though and lingered there for 1 day, went back down to HP4 from CF between 8/2/2024 and 8/3 2024,  in sequence. */20/2024 went back US, this time hitting CS but missed CU. Just 1 detection at CF5 as well on 8/22. discussed with ER and EF, decided maybe not predatoin",No,maybe 8/22/2024,,"yes, did it really miss CS and CD between 7/31/2024 and 8/1/2024"
230000272182,"In 4 days May 2021, swam between HP and CF twice, missing some detecitions on CF6, also singlular detections. No detection past those 4 days",Yes,5/14/2021,5/18/2021,
230000272466,stayed below the dam but missed expected detections moving between WG1 and RB. Sequences span a few years but then also hit HP and Rb in the same day. ,probably not; some hp3 missed detections were duirng may 2022 when a known period of incosistent detections for HP3,maybe 2023-9-2,,
