Site,DateTime,Water_Pres_psi,Water_Temp_F,Barom_Pres_psi,Air_Temp_F,Water_Level_ft,Water_Level_NoIce_ft,Filter_Ice,Notes
Red Barn,8/7/2020 12:00,11.53,65.68,11.14,78.27,1.22,1.22,0,
Red Barn,8/7/2020 13:00,11.53,67.05,11.13,81.98,1.22,1.22,0,
Red Barn,8/7/2020 14:00,11.52,68.08,11.13,87.37,1.21,1.21,0,
Red Barn,8/7/2020 15:00,11.52,68.08,11.13,89.02,1.21,1.21,0,
Red Barn,8/7/2020 16:00,11.52,67.91,11.13,94.25,1.20,1.20,0,
Red Barn,8/7/2020 17:00,11.51,66.88,11.13,94.06,1.19,1.19,0,
Red Barn,8/7/2020 18:00,11.51,65.51,11.12,83.40,1.20,1.20,0,
Red Barn,8/7/2020 19:00,11.51,63.97,11.12,77.75,1.21,1.21,0,
Red Barn,8/7/2020 20:00,11.52,62.25,11.13,72.72,1.20,1.20,0,
Red Barn,8/7/2020 21:00,11.53,61.05,11.14,60.88,1.20,1.20,0,
Red Barn,8/7/2020 22:00,11.54,60.20,11.15,52.58,1.21,1.21,0,
Red Barn,8/7/2020 23:00,11.55,59.51,11.16,46.01,1.20,1.20,0,
Red Barn,8/8/2020 0:00,11.55,59.16,11.17,41.25,1.20,1.20,0,
Red Barn,8/8/2020 1:00,11.56,58.99,11.17,38.63,1.21,1.21,0,
Red Barn,8/8/2020 2:00,11.56,58.65,11.18,36.34,1.20,1.20,0,
Red Barn,8/8/2020 3:00,11.56,58.48,11.18,34.00,1.19,1.19,0,
Red Barn,8/8/2020 4:00,11.57,58.13,11.18,32.82,1.20,1.20,0,
Red Barn,8/8/2020 5:00,11.57,57.61,11.18,31.82,1.20,1.20,0,
Red Barn,8/8/2020 6:00,11.58,57.27,11.19,31.82,1.20,1.20,0,
Red Barn,8/8/2020 7:00,11.59,57.10,11.20,31.01,1.20,1.20,0,
Red Barn,8/8/2020 8:00,11.60,57.27,11.21,34.79,1.20,1.20,0,
Red Barn,8/8/2020 9:00,11.59,58.30,11.20,43.10,1.21,1.21,0,
Red Barn,8/8/2020 10:00,11.58,59.85,11.19,56.75,1.20,1.20,0,
Red Barn,8/8/2020 11:00,11.57,62.43,11.18,68.76,1.21,1.21,0,
Red Barn,8/8/2020 12:00,11.56,64.83,11.18,76.70,1.20,1.20,0,
Red Barn,8/8/2020 13:00,11.56,66.71,11.17,81.98,1.22,1.22,0,
Red Barn,8/8/2020 14:00,11.56,68.08,11.16,95.59,1.21,1.21,0,
Red Barn,8/8/2020 15:00,11.55,68.42,11.16,93.68,1.20,1.20,0,
Red Barn,8/8/2020 16:00,11.54,67.22,11.15,85.55,1.22,1.22,0,
Red Barn,8/8/2020 17:00,11.53,65.85,11.14,87.73,1.21,1.21,0,
Red Barn,8/8/2020 18:00,11.53,64.65,11.14,80.74,1.22,1.22,0,
Red Barn,8/8/2020 19:00,11.53,63.28,11.14,75.83,1.21,1.21,0,
Red Barn,8/8/2020 20:00,11.53,61.91,11.14,68.76,1.21,1.21,0,
Red Barn,8/8/2020 21:00,11.54,60.71,11.15,56.58,1.22,1.22,0,
Red Barn,8/8/2020 22:00,11.55,59.68,11.16,48.87,1.21,1.21,0,
Red Barn,8/8/2020 23:00,11.55,58.99,11.16,44.01,1.20,1.20,0,
Red Barn,8/9/2020 0:00,11.56,58.82,11.17,40.88,1.20,1.20,0,
Red Barn,8/9/2020 1:00,11.56,58.65,11.17,38.44,1.20,1.20,0,
Red Barn,8/9/2020 2:00,11.56,58.30,11.17,36.53,1.21,1.21,0,
Red Barn,8/9/2020 3:00,11.56,58.13,11.18,34.79,1.19,1.19,0,
Red Barn,8/9/2020 4:00,11.57,57.79,11.18,32.82,1.20,1.20,0,
Red Barn,8/9/2020 5:00,11.57,57.44,11.18,31.82,1.20,1.20,0,
Red Barn,8/9/2020 6:00,11.58,57.10,11.19,31.21,1.20,1.20,0,
Red Barn,8/9/2020 7:00,11.58,56.75,11.20,30.81,1.20,1.20,0,
Red Barn,8/9/2020 8:00,11.59,56.75,11.20,34.98,1.20,1.20,0,
Red Barn,8/9/2020 9:00,11.58,57.79,11.19,44.38,1.20,1.20,0,
Red Barn,8/9/2020 10:00,11.58,59.51,11.18,57.27,1.21,1.21,0,
Red Barn,8/9/2020 11:00,11.57,61.91,11.18,69.45,1.22,1.22,0,
Red Barn,8/9/2020 12:00,11.56,64.48,11.17,77.40,1.22,1.22,0,
Red Barn,8/9/2020 13:00,11.56,66.37,11.16,84.47,1.22,1.22,0,
Red Barn,8/9/2020 14:00,11.55,67.74,11.15,90.68,1.23,1.23,0,
Red Barn,8/9/2020 15:00,11.54,68.59,11.15,102.49,1.21,1.21,0,
Red Barn,8/9/2020 16:00,11.53,68.42,11.14,100.28,1.22,1.22,0,
Red Barn,8/9/2020 17:00,11.53,66.88,11.14,92.74,1.21,1.21,0,
Red Barn,8/9/2020 18:00,11.53,65.68,11.13,83.04,1.22,1.22,0,
Red Barn,8/9/2020 19:00,11.53,64.31,11.14,76.53,1.21,1.21,0,
Red Barn,8/9/2020 20:00,11.53,62.94,11.14,70.14,1.20,1.20,0,
Red Barn,8/9/2020 21:00,11.54,61.23,11.15,58.65,1.20,1.20,0,
Red Barn,8/9/2020 22:00,11.55,60.02,11.16,50.64,1.21,1.21,0,
Red Barn,8/9/2020 23:00,11.55,59.34,11.16,45.10,1.20,1.20,0,
Red Barn,8/10/2020 0:00,11.55,58.99,11.16,41.99,1.20,1.20,0,
Red Barn,8/10/2020 1:00,11.55,58.82,11.17,40.13,1.20,1.20,0,
Red Barn,8/10/2020 2:00,11.55,58.48,11.16,38.25,1.21,1.21,0,
