Suspect Ghost Tags,,2/27/2024,,,,,,,,,,,
,,,,,,,,,,,,,
Total,Fall 2020,Spring 2021,Summer 2021,Fall 2021,Spring 2022,Fall 2022,Summer 2023,,,,,,
381,67,110,268,307,278,259,190,,,,,,
,,,,,,,,,,,,,
Potential Ghost Tags (based on detection during 3-6 surveys),,,,,,,,,,,,,
TagID,Fall 2020,Spring 2021,Summer 2021,Fall 2021,Spring 2022,Fall 2022,Summer 2023,Total,Ghost,Notes,,Total,Count
230000142513,0,0,1,1,1,0,1,4,Flag,Already flagged as a tag with no release data,,7,13
230000228030,1,1,1,1,1,1,1,7,Flag,Confirmed Ghost,,6,20
230000228038,1,1,1,1,1,1,1,7,Flag,Confirmed Ghost,,5,59
230000228052,1,1,1,1,1,1,1,7,Flag,Confirmed Ghost,,4,106
230000228142,1,1,1,1,1,1,1,7,Flag,Confirmed Ghost,,3,183
230000228325,1,1,1,1,1,1,1,7,Flag,Confirmed Ghost,,,
230000228344,1,1,1,1,1,1,1,7,Flag,Confirmed Ghost,,,
230000228378,1,1,1,1,1,1,1,7,Flag,Confirmed Ghost,,,
230000228405,1,1,1,1,1,1,1,7,Flag,Confirmed Ghost,,,
230000228406,1,1,1,1,1,1,1,7,Flag,Confirmed Ghost,,,
230000228448,1,1,1,1,1,1,1,7,Flag,Confirmed Ghost,,,
230000228453,1,1,1,1,1,1,1,7,Flag,Confirmed Ghost,,,
230000229033,1,1,1,1,1,1,0,6,Flag,Confirmed Ghost,,,
230000229046,1,1,1,1,1,1,0,6,Flag,Confirmed Ghost,,,
230000229079,1,1,1,1,1,1,1,7,Flag,Confirmed Ghost,,,
230000228019,1,1,1,1,1,0,0,5,Flag,Confirmed Ghost,,,
230000228077,1,1,1,1,1,0,1,6,Flag,Confirmed Ghost,,,
230000228093,1,0,1,1,1,1,0,5,Flag,Confirmed Ghost,,,
230000228138,0,1,1,1,1,1,1,6,Flag,Confirmed Ghost,,,
230000228417,0,1,1,1,1,1,1,6,Flag,Confirmed Ghost,,,
230000228420,0,1,1,1,1,1,1,6,Flag,Confirmed Ghost,,,
230000228426,1,1,1,1,0,1,1,6,Flag,Confirmed Ghost,,,
230000228458,0,1,1,1,1,1,0,5,Flag,Confirmed Ghost,,,
230000228487,1,1,1,1,0,1,1,6,Flag,Confirmed Ghost,,,
230000228531,0,1,1,1,1,1,0,5,Flag,Confirmed Ghost,,,
230000228574,1,0,1,1,1,1,1,6,Flag,Confirmed Ghost,,,
230000228609,0,1,1,1,1,1,0,5,Flag,Confirmed Ghost,,,
230000228621,0,1,1,1,1,1,0,5,Flag,Confirmed Ghost,,,
230000228626,1,1,1,1,0,1,0,5,Flag,Confirmed Ghost,,,
230000228641,0,1,1,1,1,1,0,5,Flag,Confirmed Ghost,,,
230000228654,0,1,1,1,1,1,0,5,Flag,Confirmed Ghost,,,
230000228669,0,1,1,1,1,1,0,5,Flag,Confirmed Ghost,,,
230000228672,0,1,1,1,1,1,1,6,Flag,Confirmed Ghost,,,
230000228698,0,1,1,1,1,1,0,5,Flag,Confirmed Ghost,,,
230000228747,1,0,1,1,1,1,0,5,Flag,Confirmed Ghost,,,
230000228785,0,1,1,1,1,1,1,6,Flag,Confirmed Ghost,,,
230000228795,0,1,1,1,1,1,1,6,Flag,Confirmed Ghost,,,
230000228875,0,1,1,1,1,1,1,6,Flag,Confirmed Ghost,,,
230000228926,0,1,1,1,1,1,0,5,Flag,Confirmed Ghost,,,
230000228935,0,1,1,1,1,1,0,5,Flag,Confirmed Ghost,,,
230000228939,0,1,1,1,1,1,1,6,Flag,Confirmed Ghost,,,
230000228948,0,1,1,1,1,1,1,6,Flag,Confirmed Ghost,,,
230000228959,0,1,1,1,1,1,1,6,Flag,Confirmed Ghost,,,
230000228976,0,1,1,1,1,1,0,5,Flag,Confirmed Ghost,,,
230000229006,1,0,1,1,1,1,0,5,Flag,Confirmed Ghost,,,
230000229058,1,1,1,1,1,0,0,5,Flag,Confirmed Ghost,,,
230000229074,1,1,1,1,1,0,1,6,Flag,Confirmed Ghost,,,
230000229099,0,1,1,1,1,1,0,5,Flag,Confirmed Ghost,,,
226001581475,0,1,0,1,1,1,0,4,Flag,Confirmed Ghost,,,
230000142590,0,0,1,1,1,1,0,4,Flag,Confirmed Ghost,,,
230000142602,0,0,1,1,1,1,1,5,Flag,Confirmed Ghost,,,
230000142603,0,0,1,1,1,1,0,4,Flag,Confirmed Ghost,,,
230000142611,0,0,1,1,1,1,0,4,Flag,Confirmed Ghost,,,
230000142619,0,0,1,1,1,1,1,5,Flag,Confirmed Ghost,,,
230000142639,0,0,1,1,1,1,1,5,Flag,Confirmed Ghost,,,
230000142640,0,0,1,1,1,1,1,5,Flag,Confirmed Ghost,,,
230000142649,0,0,1,1,1,1,1,5,Flag,Confirmed Ghost,,,
230000142733,0,0,1,1,1,1,1,5,Flag,Confirmed Ghost,,,
230000224445,0,0,1,1,1,1,1,5,Flag,Confirmed Ghost,,,
230000224448,0,0,1,1,1,1,0,4,Flag,Confirmed Ghost,,,
230000224450,0,0,1,1,1,1,0,4,Flag,Confirmed Ghost,,,
230000224507,0,0,1,1,1,1,0,4,Flag,Confirmed Ghost,,,
230000224518,0,0,1,1,1,1,0,4,Flag,Confirmed Ghost,,,
230000224571,0,0,1,1,1,1,0,4,Flag,Confirmed Ghost,,,
230000228041,0,0,1,1,1,1,1,5,Flag,Confirmed Ghost,,,
230000228075,0,1,1,1,1,0,1,5,Flag,Confirmed Ghost,,,
230000228341,0,0,1,1,1,1,1,5,Flag,Confirmed Ghost,,,
230000228357,0,0,1,1,1,1,1,5,Flag,Confirmed Ghost,,,
