River,ReleaseSite,Date,Time,UTM_X,UTM_Y,Species,Length,Weight,TagType,TagID,QAQC,TagSize,Ant,Event,FinClip,Mortality,Comments,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,MTS,122,21,HA,226001581502,,12,Handheld,Release,right pelvic  ,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,MTS,127,25,HA,226001581509,pass,12,Handheld,Release,right pelvic  ,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,MTS,97,10,HA,226001581521,pass,12,Handheld,Release,right pelvic  ,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,MTS,119,25,HA,226001581522,,12,Handheld,Release,right pelvic  ,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,MTS,112,12,HA,226001581525,pass,12,Handheld,Release,right pelvic  ,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,RBT,82,4,HA,226001581529,,12,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,MTS,89,14,HA,226001581554,,12,Handheld,Release,right pelvic  ,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,RBT,81,3,HA,226001581558,,12,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,90,7,HA,226001581570,,12,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,MTS,126,26,HA,226001581571,,12,Handheld,Release,right pelvic  ,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,RBT,82,4,HA,226001581579,pass,12,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,RBT,85,9,HA,226001581580,,12,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,MTS,125,34,HA,226001581582,pass,12,Handheld,Release,right pelvic  ,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,MTS,117,30,HA,226001581589,,12,Handheld,Release,right pelvic  ,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,87,5,HA,226001581592,pass,12,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,MTS,133,34,HA,226001581602,,12,Handheld,Release,right pelvic  ,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,90,9,HA,226001581607,,12,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,RBT,88,6,HA,226001581627,,12,Handheld,Release,left pelvic + adp,1,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,MTS,93,19,HA,226001581628,,12,Handheld,Release,right pelvic  ,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,MTS,111,18,HA,226001581629,,12,Handheld,Release,right pelvic  ,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,MTS,91,8,HA,226001581631,,12,Handheld,Release,right pelvic  ,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,77,6,HA,226001581633,,12,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,79,9,HA,226001581636,,12,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,MTS,98,20,HA,226001581637,,12,Handheld,Release,right pelvic  ,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,98,9,HA,226001581643,pass,12,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,88,4,HA,226001581648,,12,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,RBT,83,6,HA,226001581656,,12,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,MTS,116,25,HA,226001581659,,12,Handheld,Release,right pelvic  ,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,MTS,85,6,HA,226001581661,,12,Handheld,Release,right pelvic  ,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,RBT,89,7,HA,226001581672,,12,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,MTS,97,15,HA,226001581680,,12,Handheld,Release,right pelvic  ,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,MTS,93,20,HA,226001581681,,12,Handheld,Release,right pelvic  ,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,RBT,90,10,HA,226001581683,,12,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,92,8,HA,226001581684,,12,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,RBT,87,10,HA,226001581690,,12,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,82,2,HA,226001581694,,12,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,97,10,HA,226001581696,,12,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,RBT,89,7,HA,226001581698,,12,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,RBT,73,6,HA,226001581699,,12,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,RBT,81,6,HA,226001581700,pass,12,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,87,3,HA,226001581711,,12,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,RBT,102,7,HA,226001581715,,12,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,MTS,131,27,HA,226001581717,,12,Handheld,Release,right pelvic  ,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,MTS,119,25,HA,226001581734,pass,12,Handheld,Release,right pelvic  ,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,MTS,124,19,HA,226001581739,,12,Handheld,Release,right pelvic  ,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,MTS,120,20,HA,226001581742,pass,12,Handheld,Release,right pelvic  ,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,,,,HA,226001581743,,12,Handheld,Release,,0,"no release information, but tag was detected with mobile antenna",
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,MTS,87,12,HA,226001581744,pass,12,Handheld,Release,right pelvic  ,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,RBT,213,101,HA,230000228000,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,218,115,HA,230000228001,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,RBT,460,967,HA,230000228002,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,250,164,HA,230000228003,pass,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,149,26,HA,230000228004,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,161,35,HA,230000228005,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,192,59,HA,230000228006,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,RBT,414,723,HA,230000228007,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,RBT,165,51,HA,230000228008,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,RBT,390,632,HA,230000228009,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,RBT,342,448,HA,230000228010,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,RBT,320,381,HA,230000228011,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,RBT,180,62,HA,230000228012,pass,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,RBT,222,117,HA,230000228013,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,RBT,442,854,HA,230000228014,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,193,73,HA,230000228015,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,199,84,HA,230000228016,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,203,90,HA,230000228017,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,RBT,322,380,HA,230000228018,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,189,61,HA,230000228019,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,195,77,HA,230000228020,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,226,121,HA,230000228021,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,206,95,HA,230000228022,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,RBT,245,168,HA,230000228023,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,RBT,239,139,HA,230000228024,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,302,294,HA,230000228025,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,302,253,HA,230000228026,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,260,190,HA,230000228027,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,365,495,HA,230000228028,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,190,67,HA,230000228029,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,382,640,HA,230000228030,pass,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,215,112,HA,230000228031,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,384,548,HA,230000228032,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,195,81,HA,230000228033,pass,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,RBT,330,392,HA,230000228034,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,391,663,HA,230000228035,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,201,84,HA,230000228036,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,278,230,HA,230000228037,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,392,650,HA,230000228038,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,185,62,HA,230000228039,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,359,432,HA,230000228040,pass,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,381,638,HA,230000228041,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,457,1016,HA,230000228042,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,RBT,485,1072,HA,230000228043,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,RBT,435,852,HA,230000228044,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,394,608,HA,230000228045,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,426,778,HA,230000228046,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,288,231,HA,230000228047,pass,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,242,139,HA,230000228048,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,LOC,372,409,HA,230000228049,,32,Handheld,Release,left pelvic + adp,0,,
Fraser River,Fraser River Ranch,9/1/2020,12:00:00,417229,4438617,RBT,238,132,HA,230000228050,,32,Handheld,Release,left pelvic + adp,0,,
