General Information,,,,,,,,,,,Solar Power Information,,,,,,,,,Detection Distance,,,,,,,,,,,,,,,,Tuning,,,,Notes,
,,,,,,,Supply Voltage,,Data Downloads,,,,,,,,,,,32mm RR (ft),,,,32mm Center (ft),,,,12mm RR (ft),,,,12mm Center (ft),,Tuning,,,,,,,
Site,Date,Initials,Stage (ft),Time,Debris,Weather,Supply Voltage Downstream,Supply Voltage Upstream,Data Downloads Downstream,Data Downloads Upstream,Solar Voltage (V),Solar Current (A),Solar Input (KwH),Battery Voltage (V),Battery Capacity (percent),Load Current (A),Load Draw (KwH),Operating Temp (C),Load Mode,32mm RR (ft) DS Initial,32mm RR (ft) US Initial,32mm RR (ft) DS Final,32mm RR (ft) US Final,32mm Center (ft) DS Initial,32mm Center (ft) US Initial,32mm Center (ft) DS Final,32mm Center (ft) US Final,12mm RR (ft) DS Initial,12mm RR (ft) US Initial,12mm RR (ft) DS Final,12mm RR (ft) US Final,12mm Center (ft) DS Initial,12mm Center (ft) US Initial,12mm Center (ft) DS Final,12mm Center (ft) US Final,Tuning DS Initial,Tuning US Initial,Tuning DS Final,Tuning US Final,Notes,
Confluence,8/12/2020,"MR, ER",1.05,12:40,none,partly coudy,NA,NA,CR_CF_A5_20200812,CR_CF_A6_20200812,23.3,3.6,22.1,13.8,100,2.2,18.5,25,15,1.6,1.6,NA,NA,1.7,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,In Tune,In Tune,Same,Same,,
Confluence,8/20/2020,"MR, SG",1.06,14:20,none,"cloudy, rain",NA,NA,CR_CF_A5_20200820,CR_CF_A6_20200820,14.1,4.4,27.2,13.8,100,1.7,22.8,25,15,1.5,1.1,1.7,1.35,1.6,1.1,1.7,1.35,NA,NA,NA,NA,NA,NA,NA,NA,In Tune,In Tune,Same,Same,Firmware V1.8 installed on both readers. ,
Confluence,8/31/2020,"MR, MK, SG",1.06,15:30,none,"rain, cloudy",13.4,14.4,CR_CF_A5_20200831,CR_CF_A6_20200831,14,3.5,33.7,13.8,100,1.6,28.5,25,15,1.75,1.15,NA,NA,1.75,1.15,NA,NA,0.3,0.2,NA,NA,0.3,0.1,NA,NA,In Tune,In Tune,Same,Same,"US- detections every 15 min, Date/time OK, Lat Long Ok. DS- reading as ""NRGB"" (Node), detections every 15 min and Lat Long OK.",
Confluence,9/30/2020,MR,0.84,11:30,"Branch, removed",sunny,14.3,13.8,CR_CF_A5_20200930,CR_CF_A6_20200930,22.3,3.3,49.8,13.7,100,1.5,43,25,15,1.5,1.2,NA,NA,1.6,1.3,NA,NA,0.35,0.2,NA,NA,0.3,0.25,NA,NA,OK,OK,Same,Same,"A5 and A6 date, time and marker tags ok",
Confluence,10/8/2020,"SG, MR",0.9,10:30,none,"sunny, hazy",14.2,13.8,CR_CF_A5_20201008,CR_CF_A6_20201008,19.1,3.8,53.8,14.3,100,1.5,46.8,25,15,1.05,1.3,NA,NA,1.05,1.2,NA,NA,0.15,0.2,NA,NA,0.1,0.2,NA,NA,OK,OK,Same,Same,"US used 32m tag and got 0.8ft, tried again and got better detections",
Confluence,11/4/2020,"MR, SG",0.91,13:20,sticks removed,sunny,13.9,14.2,CR_CF_A5_20201104,CR_CF_20201104,22.6,3.9,66.4,13.8,100,1.5,59,25,15,0.7,1.3,0.9,1.3,0.6,1.4,0.85,1.45,touching,NA,0.1,0.2,touching,NA,0.1,0.25,out,OK,OK,OK,"Had to tune A5, tuner did not go to ""OK"" or flash double lights. Tried for 10 minutes, detection distances got slightly better",
Confluence,12/3/2020,MR,ICE,10:50,ICE ,sunny,14.5,14.3,CR_CF_A5_20201203,CR_CF_20201203,24,4.1,78.7,14.4,100,1.2,71.4,25,15,1.6,1.05,NA,NA,NA,NA,NA,NA,0.3,0.2,NA,NA,NA,NA,NA,NA,OK,OK,NA,NA,middle is frozen. Ice buildup on A5 RR. Stage was estimated due to ice. Date and Times both ok. Marker tag batteries changed,
Confluence,12/10/2020,"MR, SG",ICE,11:50,ICE,overcast,14.6,14.7,CR_CF_A5_20201210,CR_CF_20201210,19.5,4.3,81.8,14.4,100,1.5,74.5,25,15,1.8,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,OK,NA,NA,NA,"Marker tag on A5 downstream attached the antenna, rather than underneath. A5 and A6 date and time ok. Firmware updated to 1.86",
Confluence,1/5/2021,"MR, SG",ICE,14:20,ICE,"windy, clear",13.8,13.9,CR_CF_A5_20210105,CR_CF_20210105,19.3,4.1,92.4,13.9,100,1.4,85.6,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A5 Marker tag not working correctly, constant detections (# 4948). Replaced marked tag at 2:43PM. New Marker tage # 1570",
Confluence,2/2/2021,"MR, SG",ICE,12:50,ICE,overcast,14,14.1,CR_CF_A5_20210202,CR_CF_20210202,18.9,3,104.5,13.7,100,1.3,97.5,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Confluence,3/2/2021,"MR, SG",ICE,12:40,1/2 Ice,sunny,13.6,13.9,CR_CF_A5_20210303,CR_CF_20210303,18.9,3.1,116.5,13.8,100,1.3,109.2,25,15,1.65,1.45,NA,NA,NA,NA,NA,NA,0.3,0.2,NA,NA,NA,NA,NA,NA,OK,OK,NA,NA,,
Confluence,4/6/2021,MR,NA,13:35,removed,sunny,13.5,14.1,CR_CF_A5_20210406,CR_CF_202100406,24.2,2.5,131.3,13.7,100,1.2,122.9,25,15,1.5,1.05,NA,NA,1.65,1.2,NA,NA,0.25,0.05,NA,NA,0.25,0.1,NA,NA,OK,OK,NA,NA,stopped transducers at 1:41PM and downloaded. Staff guage elevation may have changedand was hammered 1/2 inch. Lots of stuck logs on antennas from beaver dam.,
Confluence,4/8/2021,MR,1.14,NA,removed,sunny,NA,NA,NA,NA,23.3,2.9,13.2,13.7,100,1.7,123.6,25,15,1.85,1.2,NA,NA,1.8,1.15,NA,NA,0.4,0.15,NA,NA,0.3,0.15,NA,NA,Tuned 1st,Tumed 1st,NA,NA,"2:25 staff guage remved. Noon-2pm thro out water pressure transducer data. New ratchet straps and duckbills added, all straps tightened.",
Confluence,5/5/2021,ERF,1.5,15:40,"yes, and small sticks removed",sunny,13.5,14.1,CR_CF_A5_20210505,CR_CF_A6_202100505,19,2.8,146.7,13.8,100,1.5,137.3,25,15,1.54,0.96,NA,NA,1.54,1.18,NA,NA,0.24,0.26,NA,NA,0.26,0.14,NA,NA,unknown,unknown,unknown,unknown,Key would not open tuner box; could not remember which was manual vs autotuner. No tuning done to prevent screwing anything up,downloaded pressure transducers. RB_20210406_air and RB_20210406_water. A2 never saw green or double blink for tuning. A1 good detections but we tuned anyways and got the green light
Confluence,6/3/2021,ER,1.28,13:40,"willows, sticks removed","sunny, warm",13.9,14.2,CR_CF_A5_20210603,CR_CF_A6_202100603,18.5,2.5,161.7,13.7,100,1.4,150.8,25,15,1.5,NA,NA,NA,NA,NA,NA,NA,0.25,0.2,NA,NA,NA,NA,NA,NA,ok,ok,NA,NA,CF5 = 5308 Records. CF6 = 7487 records. Did not tune,
Confluence,7/27/2021,"ER, SG",1.12,16:15,some sticks,sunny and hot,13.7,13.9,CR_CF_A5_20210727,CR_CF_A6_202100727,14,2.8,191.7,13.8,100,1.5,175.8,25,15,1.4,1.55,NA,NA,1.5,1.4,NA,NA,0.25,0.15,NA,NA,0.2,0.1,NA,NA,NA,Na,NA,NA,many detections of 226001581653 on A6 (7/4 -),
Confluence,8/31/2021,"ER, SG",1.01,14:45,"sticks, logs (beaver)","sunny, warm",13.9,NA,CR_CF_A5_20210831,CR_CF_A6_20210831,20.9,2.6,209.7,13.8,100,1.4,191.4,25,15,1.6,1.45,NA,NA,1.5,1.3,NA,NA,0.2,0.25,NA,NA,0.2,0.15,NA,NA,ok,ok,NA,NA,"Did not attempt to tune, not many detections. Turbid water from Colorado River, Fraser River is clear",
Confluence,10/6/2021,"KK, SG",0.83,15:00,Algae,cloudy and windy,14,14.2,CR_CF_A5_20211006,CR_CF_A6_20211006,18.7,2.7,227.1,13.7,10,1.4,207.1,25,15,1.5,1.4,NA,NA,1.45,1.5,NA,NA,0.25,0.25,NA,NA,0.25,0.3,NA,NA,NA,NA,NA,NA,NA,
Confluence,10/21/2021,"ER, SG, KK",0.89,11:00,some sticks,sunny and cold,14.2,14.7,CR_CF_A5_20211021,CR_CF_A6_20211021,21.5,4.2,233.5,14.3,100,1.4,213.5,25,15,1.4,1.33,NA,NA,1.48,1.31,NA,NA,0.06,0.16,NA,NA,0.05,0.2,NA,NA,ok,ok,NA,NA,A6 download file (CF6) may look funny due to active detections during download. Fish sitting on CF6 (2300001.02751),
Confluence,11/9/2021,"ER, SG, KK",0.82,13:00,"algae, sticks",cloudy,14,14.3,CR_CF_A5_20211109,CR_CF_A6_20211109,18.6,1.8,241.9,13.7,100,1.4,221.6,25,15,1.5,1.65,NA,NA,1.5,1.5,NA,NA,0.2,0.2,NA,NA,0.2,0.2,NA,NA,ok,ok,NA,NA,tightened ratchet straps. Replaced marker tag batteries and marker tag pelican cases. Downloaded h20 and air HOBOs. Raked in rock to antennas.,
Confluence,11/30/2021,"SG, KK",0.9,11:20,"Ice, none",sunny,13.6,13.8,CR_CF_A5_20211130,CR_CF_A6_20211130,18.9,3.1,250.9,13.7,100,1.4,230.5,25,15,1.55,1.55,NA,NA,1.5,1.5,NA,NA,0.25,0.3,NA,NA,0.25,0.25,NA,NA,NA,NA,NA,NA,"CFS updated 1.86 to 1.992 no problem. CF6 spit firmware with FW command., manually reset and reinstalled. Both readers initialized, corrected fields and site codes. Both retained detection distances before/after update. Left up and running. New straps held.",
Confluence,1/10/2022,"SG, KK",ICE,13:40,"Ice, NA","-3F, Frozen, small water open",13.6,14.1,NA,NA,24.2,4.2,265.1,13.7,100,1.4,246.8,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"small section open for detection distances, unsafe to go in. Solar panel clear.",
Confluence,2/3/2022,"SG, KK",ICE,13:50,"Ice, NA","-10, sunny, lots of snow",13.2,13.5,CR_CF_A5_20220203,CR_CF_A6_20220203,13.5,2.6,273.2,13.3,10,1.2,255.9,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nA,NA,NA,NA,"river frozen. Battery at 100% on arrival, not in shade.",
Confluence,3/11/2022,"KK, MK",ICE,12:40,Ice/NA,"Partly cloudy, 6F, lots of snow",13.7,13.9,CR_CF_A5_20220311,CR_CF_A6_20220311,24.3,1.6,287.9,13.7,100,1.4,269,25,15,NA,NA,NA,NA,NA,Na,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"solar clear, battert at 100% capacity. River frozen, starting to open up from river left, ghost tag on DS antenna as of 3/11/2022",
Confluence,4/6/2022,"SI, ER",0.91,13:30,"logs, sticks","cloudy, windy",13.7,14.1,CR_CF_A5_20220406,CR_CF_A6_20220406,24.2,1.7,298.6,13.7,100,1.4,278.7,25,15,1.2,1.2,NA,NA,1.2,1.4,NA,NA,0.2,0.25,NA,NA,0.4,0.3,NA,NA,Ok,Ok,NA,NA,All good:),
Confluence,5/3/2022,"ER, MK, SI",1.55,10:50,sticks,mostly sunny,13.9,14.1,CR_CF_A5_20220503,CR_CF_A6_20220503,19.3,1.7,309,13.8,100,1,288.4,25,15,1.2,1.2,NA,NA,1.35,1.35,NA,NA,0.2,0.3,NA,NA,0.2,0.2,NA,NA,ok,ok,NA,NA,Bring a bigger flat head screwdrive to leave in the job box (to open solar controller enclosure),
