Suspect Ghoat Tags,,11/8/2024,,,,,,,,,,,
,,,,,,,,,,,,,
Total,Fall 2020,Spring 2021,Summer 2021,Fall 2021,Spring 2022,Fall 2022,Summer 2023,Fall 2024,,,,,
439,70,113,275,324,296,293,224,186,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Potential Ghost Tags (based on detection during 3-6 surveys),,,,,,,,,,,,,
TagID,Fall 2020,Spring 2021,Summer 2021,Fall 2021,Spring 2022,Fall 2022,Summer 2023,Fall 2024,Total,Ghost,,Total,Count
230000228052,1,1,1,1,1,1,1,1,8,Flag,,8,8
230000228325,1,1,1,1,1,1,1,1,8,Flag,,7,17
230000228344,1,1,1,1,1,1,1,1,8,Flag,,6,30
230000228378,1,1,1,1,1,1,1,1,8,Flag,,5,79
230000228406,1,1,1,1,1,1,1,1,8,Flag,,4,108
230000228448,1,1,1,1,1,1,1,1,8,Flag,,3,197
230000228848,1,1,1,1,1,1,1,1,8,Flag,,,
230000229079,1,1,1,1,1,1,1,1,8,Flag,,,
230000228030,1,1,1,1,1,1,1,0,7,Flag,,,
230000228038,1,1,1,1,1,1,1,0,7,Flag,,,
230000228077,1,1,1,1,1,0,1,1,7,Flag,,,
230000228138,0,1,1,1,1,1,1,1,7,Flag,,,
230000228142,1,1,1,1,1,1,1,0,7,Flag,,,
230000228405,1,1,1,1,1,1,1,0,7,Flag,,,
230000228417,0,1,1,1,1,1,1,1,7,Flag,,,
230000228420,0,1,1,1,1,1,1,1,7,Flag,,,
230000228444,1,1,1,1,0,1,1,1,7,Flag,,,
230000228453,1,1,1,1,1,1,1,0,7,Flag,,,
230000228672,0,1,1,1,1,1,1,1,7,Flag,,,
230000228836,0,1,1,1,1,1,1,1,7,Flag,,,
230000228875,0,1,1,1,1,1,1,1,7,Flag,,,
230000228939,0,1,1,1,1,1,1,1,7,Flag,,,
230000228948,0,1,1,1,1,1,1,1,7,Flag,,,
230000228959,0,1,1,1,1,1,1,1,7,Flag,,,
230000229074,1,1,1,1,1,0,1,1,7,Flag,,,
230000142516,0,0,1,1,1,1,1,1,6,Flag,,,
230000142619,0,0,1,1,1,1,1,1,6,Flag,,,
230000142639,0,0,1,1,1,1,1,1,6,Flag,,,
230000142733,0,0,1,1,1,1,1,1,6,Flag,,,
230000224445,0,0,1,1,1,1,1,1,6,Flag,,,
230000228341,0,0,1,1,1,1,1,1,6,Flag,,,
230000228357,0,0,1,1,1,1,1,1,6,Flag,,,
230000228414,1,1,1,1,1,1,0,0,6,Flag,,,
230000228426,1,1,1,1,0,1,1,0,6,Flag,,,
230000228446,1,1,1,0,1,1,0,1,6,Flag,,,
230000228464,0,1,1,1,0,1,1,1,6,Flag,,,
230000228487,1,1,1,1,0,1,1,0,6,Flag,,,
230000228574,1,0,1,1,1,1,1,0,6,Flag,,,
230000228626,1,1,1,1,0,1,0,1,6,Flag,,,
230000228689,0,1,1,0,1,1,1,1,6,Flag,,,
230000228785,0,1,1,1,1,1,1,0,6,Flag,,,
230000228789,0,1,1,1,1,0,1,1,6,Flag,,,
230000228795,0,1,1,1,1,1,1,0,6,Flag,,,
230000229030,0,0,1,1,1,1,1,1,6,Flag,,,
230000229033,1,1,1,1,1,1,0,0,6,Flag,,,
230000229036,0,0,1,1,1,1,1,1,6,Flag,,,
230000229046,1,1,1,1,1,1,0,0,6,Flag,,,
230000229055,0,1,1,1,0,1,1,1,6,Flag,,,
230000229056,0,1,1,1,0,1,1,1,6,Flag,,,
230000229068,0,1,1,1,1,0,1,1,6,Flag,,,
230000272103,0,0,1,1,1,1,1,1,6,Flag,,,
