Code,DTY,ARR,TRF,DUR,TTY,TAG,SCD,ANT,NCD,EFA,UTM_X,UTM_Y,parsed_test
S,2021-03-14,02:05:09,G,00:00.9,W,00000000000000005394,RB1,A1,10,0.7,412489,4439413,NA
S,2021-03-14,02:20:04,G,00:00.9,W,00000000000000005394,RB1,A1,10,0.7,412489,4439413,NA
S,2021-03-14,02:34:58,G,00:00.8,W,00000000000000005394,RB1,A1,9,0.7,412489,4439413,NA
S,2021-03-14,02:49:53,G,00:00.9,W,00000000000000005394,RB1,A1,10,0.7,412489,4439413,NA
S,2021-03-14,02:01:18,G,00:00.8,W,00000000000000002102,RB2,A1,9,0.2,412489,4439413,NA
S,2021-03-14,02:16:11,G,00:00.9,W,00000000000000002102,RB2,A1,10,0.2,412489,4439413,NA
S,2021-03-14,02:31:06,G,00:00.9,W,00000000000000002102,RB2,A1,10,0.3,412489,4439413,NA
S,2021-03-14,02:45:59,G,00:01.9,W,00000000000000002102,RB2,A1,10,0.3,412489,4439413,NA
S,2021-03-14,02:05:11,G,00:00.9,W,00000000000000005154,HP3,A1,10,0.5,414375,4440241,NA
S,2021-03-14,02:20:08,G,00:00.9,W,00000000000000005154,HP3,A1,10,0.5,414375,4440241,NA
S,2021-03-14,02:35:05,G,00:00.9,W,00000000000000005154,HP3,A1,10,0.5,414375,4440241,NA
S,2021-03-14,02:50:02,G,00:00.9,W,00000000000000005154,HP3,A1,10,0.6,414375,4440241,NA
S,2021-03-14,02:08:44,G,00:00.9,W,00000000000000005665,HP4,A1,10,0.3,414375,4440241,NA
S,2021-03-14,02:23:35,G,00:01.8,W,00000000000000005665,HP4,A1,9,0.3,414375,4440241,NA
S,2021-03-14,02:38:26,G,00:00.8,W,00000000000000005665,HP4,A1,9,0.3,414375,4440241,NA
S,2021-03-14,02:53:18,G,00:00.8,W,00000000000000005665,HP4,A1,9,0.3,414375,4440241,NA
S,2021-03-14,02:00:33,G,00:00.8,W,00000000000000001570,CF5,A1,9,0.5,416965,4439369,NA
S,2021-03-14,02:15:21,G,00:00.9,W,00000000000000001570,CF5,A1,10,0.6,416965,4439369,NA
S,2021-03-14,02:30:08,G,00:00.8,W,00000000000000001570,CF5,A1,9,0.5,416965,4439369,NA
S,2021-03-14,02:44:55,G,00:00.8,W,00000000000000001570,CF5,A1,9,0.5,416965,4439369,NA
S,2021-03-14,02:59:42,G,00:00.9,W,00000000000000001570,CF5,A1,10,0.5,416965,4439369,NA
S,2021-03-14,02:09:59,G,00:01.9,W,00000000000000005396,CF6,A1,10,0.6,416965,4439369,NA
S,2021-03-14,02:24:54,G,00:00.9,W,00000000000000005396,CF6,A1,10,0.6,416965,4439369,NA
S,2021-03-14,02:39:48,G,00:00.9,W,00000000000000005396,CF6,A1,10,0.6,416965,4439369,NA
S,2021-03-14,02:54:43,G,00:00.9,W,00000000000000005396,CF6,A1,10,0.6,416965,4439369,NA
S,2022-03-13,02:14:25,G,00:00:00.900,W,00000000000000005394,RB1,A1,10,0.6,412489,4439413,NA
S,2022-03-13,02:29:18,G,00:00:00.800,W,00000000000000005394,RB1,A1,9,0.6,412489,4439413,NA
S,2022-03-13,02:44:12,G,00:00:00.800,W,00000000000000005394,RB1,A1,9,0.6,412489,4439413,NA
S,2022-03-13,02:59:06,G,00:00:00.900,W,00000000000000005394,RB1,A1,10,0.6,412489,4439413,NA
S,2022-03-13,02:09:34,G,00:00:01.800,W,00000000000000002102,RB2,A1,9,0.4,412489,4439413,NA
S,2022-03-13,02:24:29,G,00:00:00.900,W,00000000000000002102,RB2,A1,10,0.4,412489,4439413,NA
S,2022-03-13,02:39:21,G,00:00:01.900,W,00000000000000002102,RB2,A1,10,0.4,412489,4439413,NA
S,2022-03-13,02:54:16,G,00:00:00.900,W,00000000000000002102,RB2,A1,10,0.4,412489,4439413,NA
S,2022-03-13,02:04:32,G,00:00:00.900,W,00000000000000005154,HP3,A1,10,1,414375,4440241,NA
S,2022-03-13,02:19:28,G,00:00:00.900,W,00000000000000005154,HP3,A1,10,1,414375,4440241,NA
S,2022-03-13,02:34:25,G,00:00:00.900,W,00000000000000005154,HP3,A1,10,1,414375,4440241,NA
S,2022-03-13,02:49:21,G,00:00:00.800,W,00000000000000005154,HP3,A1,9,1,414375,4440241,NA
S,2022-03-13,02:05:20,G,00:00:00.700,W,00000000000000005665,HP4,A1,8,0.6,414375,4440241,NA
S,2022-03-13,02:20:10,G,00:00:00.800,W,00000000000000005665,HP4,A1,9,0.6,414375,4440241,NA
S,2022-03-13,02:35:00,G,00:00:01.700,W,00000000000000005665,HP4,A1,8,0.6,414375,4440241,NA
S,2022-03-13,02:49:52,G,00:00:00.900,W,00000000000000005665,HP4,A1,10,0.6,414375,4440241,NA
S,2022-03-13,02:12:43,G,00:00:00.800,W,00000000000000005396,CF6,A1,9,0.6,416965,4439369,NA
S,2022-03-13,02:27:38,G,00:00:00.900,W,00000000000000005396,CF6,A1,10,0.6,416965,4439369,NA
S,2022-03-13,02:42:32,G,00:00:00.700,W,00000000000000005396,CF6,A1,8,0.6,416965,4439369,NA
S,2022-03-13,02:57:25,G,00:00:00.900,W,00000000000000005396,CF6,A1,10,0.6,416965,4439369,NA
S,2023-03-12,02:12:18,G,00:00:00.700,W,00000000000000005394,RB1,A1,8,0.4,412489,4439413,NA
S,2023-03-12,02:27:11,G,00:00:00.900,W,00000000000000005394,RB1,A1,10,0.5,412489,4439413,NA
S,2023-03-12,02:42:05,G,00:00:00.800,W,00000000000000005394,RB1,A1,9,0.5,412489,4439413,NA
S,2023-03-12,02:56:59,G,00:00:00.900,W,00000000000000005394,RB1,A1,10,0.4,412489,4439413,NA
S,2023-03-12,02:06:56,G,00:00:00.900,W,00000000000000002102,RB2,A1,10,0.3,412489,4439413,NA
S,2023-03-12,02:21:49,G,00:00:00.900,W,00000000000000002102,RB2,A1,10,0.3,412489,4439413,NA
S,2023-03-12,02:36:43,G,00:00:00.900,W,00000000000000002102,RB2,A1,10,0.4,412489,4439413,NA
S,2023-03-12,02:51:36,G,00:00:00.800,W,00000000000000002102,RB2,A1,9,0.4,412489,4439413,NA
S,2023-03-12,02:01:22,G,00:00:00.900,W,00000000000000005154,HP3,A1,10,0.8,414375,4440241,NA
S,2023-03-12,02:16:18,G,00:00:00.900,W,00000000000000005154,HP3,A1,10,0.8,414375,4440241,NA
S,2023-03-12,02:31:14,G,00:00:00.900,W,00000000000000005154,HP3,A1,10,0.8,414375,4440241,NA
S,2023-03-12,02:46:10,G,00:00:00.900,W,00000000000000005154,HP3,A1,10,0.8,414375,4440241,NA
S,2023-03-12,02:09:34,G,00:00:00.800,W,00000000000000005665,HP4,A1,9,0.4,414375,4440241,NA
S,2023-03-12,02:24:24,G,00:00:01.700,W,00000000000000005665,HP4,A1,8,0.4,414375,4440241,NA
S,2023-03-12,02:39:15,G,00:00:00.900,W,00000000000000005665,HP4,A1,10,0.4,414375,4440241,NA
S,2023-03-12,02:54:05,G,00:00:00.900,W,00000000000000005665,HP4,A1,10,0.4,414375,4440241,NA
S,2023-03-12,02:02:19,G,00:00:00.900,W,00000000000000001570,CF5,A1,10,0.6,416965,4439369,NA
S,2023-03-12,02:17:06,G,00:00:00.800,W,00000000000000001570,CF5,A1,9,0.6,416965,4439369,NA
S,2023-03-12,02:31:52,G,00:00:00.900,W,00000000000000001570,CF5,A1,10,0.6,416965,4439369,NA
S,2023-03-12,02:46:39,G,00:00:00.800,W,00000000000000001570,CF5,A1,9,0.6,416965,4439369,NA
S,2023-03-12,02:04:14,G,00:00:00.900,W,00000000000000005396,CF6,A1,10,0.8,416965,4439369,NA
S,2023-03-12,02:19:08,G,00:00:00.900,W,00000000000000005396,CF6,A1,10,0.8,416965,4439369,NA
S,2023-03-12,02:34:02,G,00:00:00.900,W,00000000000000005396,CF6,A1,10,0.8,416965,4439369,NA
S,2023-03-12,02:48:55,G,00:00:00.800,W,00000000000000005396,CF6,A1,9,0.8,416965,4439369,NA
S,2024-03-10,02:11:23,G,00:00:00.800,W,00000000000000002102,RB2,A1,9,0.3,412489,4439413,NA
S,2024-03-10,02:26:16,G,00:00:00.800,W,00000000000000002102,RB2,A1,9,0.3,412489,4439413,NA
S,2024-03-10,02:41:09,G,00:00:00.900,W,00000000000000002102,RB2,A1,10,0.3,412489,4439413,NA
S,2024-03-10,02:56:02,G,00:00:00.900,W,00000000000000002102,RB2,A1,10,0.3,412489,4439413,NA
S,2024-03-10,02:10:22,G,00:00:00.900,W,00000000000000005154,HP3,A1,10,0.6,414375,4440241,NA
S,2024-03-10,02:22:11,G,00:00:00.200,A,230000142723,HP3,A1,13,0.6,414375,4440241,NA
S,2024-03-10,02:22:14,G,00:00:00.100,A,230000142723,HP3,A1,2,0.6,414375,4440241,NA
S,2024-03-10,02:25:18,G,00:00:00.900,W,00000000000000005154,HP3,A1,10,0.6,414375,4440241,NA
S,2024-03-10,02:28:38,G,00:00:04.000,A,230000142723,HP3,A1,41,0.6,414375,4440241,NA
S,2024-03-10,02:29:07,G,00:00:01.700,A,230000142723,HP3,A1,18,0.6,414375,4440241,NA
S,2024-03-10,02:29:16,G,00:00:06.800,A,230000142723,HP3,A1,69,0.6,414375,4440241,NA
S,2024-03-10,02:32:13,G,00:00:02.300,A,230000142723,HP3,A1,24,0.6,414375,4440241,NA
S,2024-03-10,02:38:50,G,00:00:05.900,A,230000142723,HP3,A1,60,0.6,414375,4440241,NA
S,2024-03-10,02:39:00,G,00:00:07.500,A,230000142723,HP3,A1,76,0.6,414375,4440241,NA
S,2024-03-10,02:40:14,G,00:00:00.900,W,00000000000000005154,HP3,A1,10,0.6,414375,4440241,NA
S,2024-03-10,02:55:10,G,00:00:00.900,W,00000000000000005154,HP3,A1,10,0.6,414375,4440241,NA
S,2024-03-10,02:13:20,G,00:00:00.900,W,00000000000000005665,HP4,A1,10,0.6,414375,4440241,NA
S,2024-03-10,02:28:10,G,00:00:00.900,W,00000000000000005665,HP4,A1,10,0.5,414375,4440241,NA
S,2024-03-10,02:40:38,G,00:00:04.200,A,230000142723,HP4,A1,33,0.5,414375,4440241,NA
S,2024-03-10,02:40:45,G,00:00:02.700,A,230000142723,HP4,A1,28,0.6,414375,4440241,NA
S,2024-03-10,02:43:00,G,00:00:00.900,W,00000000000000005665,HP4,A1,10,0.6,414375,4440241,NA
S,2024-03-10,02:57:49,G,00:00:01.800,W,00000000000000005665,HP4,A1,9,0.5,414375,4440241,NA
S,2024-03-10,02:05:16,G,00:00:00.100,W,00000000000000012625,CU2,A1,2,0.6,416723,4439438,NA
S,2024-03-10,02:20:09,G,00:00:00.100,W,00000000000000012625,CU2,A1,2,0.6,416723,4439438,NA
S,2024-03-10,02:35:03,G,00:00:00.100,W,00000000000000012625,CU2,A1,2,0.7,416723,4439438,NA
S,2024-03-10,02:49:56,G,00:00:00.100,W,00000000000000012625,CU2,A1,2,0.7,416723,4439438,NA
S,2024-03-10,02:06:21,G,00:00:00.100,W,00000000000000012626,CS1,A1,2,0.5,415787,4439908,NA
S,2024-03-10,02:21:17,G,00:00:00.100,W,00000000000000012626,CS1,A1,2,0.5,415787,4439908,NA
S,2024-03-10,02:36:13,G,00:00:00.100,W,00000000000000012626,CS1,A1,2,0.5,415787,4439908,NA
S,2024-03-10,02:51:09,G,00:00:00.100,W,00000000000000012626,CS1,A1,2,0.5,415787,4439908,NA
S,2024-03-10,02:03:51,G,00:00:00.200,W,00000000000000004372,CS2,A1,3,0.5,415787,4439908,NA
S,2024-03-10,02:18:50,G,00:00:00.200,W,00000000000000004372,CS2,A1,3,0.5,415787,4439908,NA
S,2024-03-10,02:33:49,G,00:00:00.100,W,00000000000000004372,CS2,A1,2,0.6,415787,4439908,NA
S,2024-03-10,02:48:47,G,00:00:00.100,W,00000000000000004372,CS2,A1,2,0.6,415787,4439908,NA
S,2024-03-10,02:07:27,G,00:00:00.900,W,00000000000000001570,CF5,A1,10,1,416965,4439369,NA
S,2024-03-10,02:22:13,G,00:00:00.900,W,00000000000000001570,CF5,A1,10,1.1,416965,4439369,NA
S,2024-03-10,02:37:00,G,00:00:00.900,W,00000000000000001570,CF5,A1,10,0.9,416965,4439369,NA
S,2024-03-10,02:51:46,G,00:00:00.900,W,00000000000000001570,CF5,A1,10,1.1,416965,4439369,NA
S,2024-03-10,02:12:22,G,00:00:00.800,W,00000000000000005396,CF6,A1,9,1.1,416965,4439369,NA
S,2024-03-10,02:27:17,G,00:00:00.800,W,00000000000000005396,CF6,A1,9,1.1,416965,4439369,NA
S,2024-03-10,02:42:10,G,00:00:00.900,W,00000000000000005396,CF6,A1,10,1.1,416965,4439369,NA
S,2024-03-10,02:57:04,G,00:00:00.800,W,00000000000000005396,CF6,A1,9,1,416965,4439369,NA
S,2024-03-10,02:08:55,G,00:00:00.200,W,00000000000000004948,CD1,A1,3,0.6,415802,4439907,NA
S,2024-03-10,02:23:49,G,00:00:00.100,W,00000000000000004948,CD1,A1,2,0.7,415802,4439907,NA
S,2024-03-10,02:38:43,G,00:00:00.100,W,00000000000000004948,CD1,A1,2,0.5,415802,4439907,NA
S,2024-03-10,02:53:37,G,00:00:00.200,W,00000000000000004948,CD1,A1,3,0.7,415802,4439907,NA
S,2024-03-10,02:56:56,G,00:00:00.000,W,00000000000000002323,CD1,A1,1,0.5,415802,4439907,NA
