TagID,Total...10,Ghost.x,Total...9,Ghost.y,Notes,toCheck,2024Checking,2024Notes,ProposedGhostDate
230000228848,8,Flag,7,Flag,Not a Ghost Tag; revised based off movement after Ghost Date or other.,TRUE,Confirmed Ghost,Washed downstream but then no movement for a year. Porposed that 2023 high flows washed it DS,10/21/2020
230000228836,7,Flag,6,Flag,Not a Ghost Tag; revised based off movement after Ghost Date or other.,TRUE,Confirmed Ghost,Washed downstream but then no movement for a year. Porposed that 2023 high flows washed it DS,4/14/2021
230000142516,6,Flag,5,Flag,Not a Ghost Tag; revised based off movement after Ghost Date or other.,TRUE,Likely ghost; add to file,Washed downstream but then no movement for a year. Porposed that 2023 high flows washed it DS,7/28/2021
230000228446,6,Flag,5,Flag,"Not a ghost tag; three plus detections in same pool, but multiple pool upstream movement on 10/17/22",TRUE,Not a ghost tag; US movement. Needs a couple more datapoints,,
230000229030,6,Flag,5,Flag,Not a Ghost Tag; revised based off movement after Ghost Date or other.,TRUE,Confirmed Ghost,Washed downstream but then no movement for a year. Porposed that 2023 high flows washed it DS,7/28/2021
230000229036,6,Flag,5,Flag,"Status unknown; Given size at release, fish likely matured and became a spawner in 2022; tag was probably still in a fish living in the pool below red barn on 4-20-22; could have spawed fall 2022 in riffle where tag has been found on 10-19-22 and 7-26-23. Need a third detection in this location to confirm (note high flows did not move tag between October 2022 and July 2023, so it should still be here if a ghost tag)",TRUE,Confirmed Ghost,"Proposed that it washed DS in sping 2022, hasn't moved at all since then",7/28/2021
230000272103,6,Flag,5,Flag,Not a Ghost Tag; revised based off movement after Ghost Date or other.,TRUE,Uncertain; need a couple more data points,,
230000272659,6,Flag,5,Flag,Not a Ghost Tag; revised based off movement after Ghost Date or other.,TRUE,Confirmed Ghost,"Gradual DS movememnt; more pronounced in high 2023 flows. Proposed washed DS in 2023 flows, hasn't moved for a year",7/28/2021
230000272664,6,Flag,5,Flag,Not a Ghost Tag; revised based off movement after Ghost Date or other.,TRUE,Confirmed Ghost,Washed downstream but then no movement for a year. Porposed that 2023 high flows washed it DS,7/28/2021
226001581552,5,Flag,4,Flag,Status unknown; detected at confluence A LOT of times; detected in same spot under highway bridge in CR 7/26/21 through 10/17/22; could be a sculpin in a new home or ghost tag; not added to Ghost Tag list - need field confirmation,TRUE,Status unknown; detected at confluence A LOT of times; detected in same spot under highway bridge in CR 7/26/21 through 10/17/22; could be a sculpin in a new home or ghost tag; not added to Ghost Tag list - need field confirmation,,
